year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score
2022,flemington,Flemington Station,1310,490,790,420,780,1130,340,850,3220,2890,6110,1800,1210,1910,1190,3710,330,0.6072013093289689
2022,glenbrook,Glenbrook Station,0,0,0,0,0,0,0,0,320,270,590,0,0,0,0,0,50,0.0
2022,glenfield,Glenfield Station,2120,850,950,510,970,1940,480,800,4520,4100,8620,2970,1460,2910,1280,5880,420,0.6821345707656613
2022,gordon,Gordon Station,2470,890,870,650,1350,2230,280,990,4970,4760,9730,3360,1520,3580,1270,6940,210,0.7132579650565262
2022,gosford,Gosford Station,1430,800,740,500,860,1350,420,560,3450,3210,6660,2230,1240,2210,980,4440,240,0.6666666666666666
2022,granville,Granville Station,1690,740,1190,830,1250,1800,840,1310,4970,4680,9650,2430,2020,3050,2150,5480,290,0.5678756476683938
2022,green_square,Green Square Station,2660,2650,1550,1340,3320,2640,860,1620,8390,8250,16640,5310,2890,5960,2480,11270,140,0.6772836538461539
2022,guildford,Guildford Station,960,180,490,350,390,950,310,440,2150,1920,4070,1140,840,1340,750,2480,230,0.6093366093366094
2022,gymea,Gymea Station,840,180,260,220,270,720,120,230,1490,1350,2840,1020,480,990,350,2010,140,0.7077464788732394
2022,hamilton,Hamilton Station,120,130,160,130,130,120,60,50,470,430,900,250,290,250,110,500,40,0.5555555555555556
2022,harris_park,Harris Park Station,540,200,370,300,460,680,380,520,1750,1700,3450,740,670,1140,900,1880,50,0.5449275362318841
2022,hawkesbury_river,Hawkesbury River Station,0,0,0,0,0,0,0,0,180,180,360,0,0,0,0,0,0,0.0
2022,hazelbrook,Hazelbrook Station,0,0,0,0,0,0,0,0,220,190,410,0,0,0,0,0,30,0.0
2022,heathcote,Heathcote Station,210,50,80,70,40,190,40,50,370,360,730,260,150,230,90,490,10,0.6712328767123288
2022,helensburgh,Helensburgh Station,0,0,0,0,0,0,0,0,330,280,610,0,0,0,0,0,50,0.0
2022,hills_showground,Hills Showground Station,1260,190,350,260,430,1150,100,440,2140,2040,4180,1450,610,1580,540,3030,100,0.7248803827751196
2022,holsworthy,Holsworthy Station,1420,180,290,230,380,1300,230,490,2320,2200,4520,1600,520,1680,720,3280,120,0.7256637168141593
2022,homebush,Homebush Station,990,230,470,330,500,890,250,600,2210,2050,4260,1220,800,1390,850,2610,160,0.6126760563380281
2022,hornsby,Hornsby Station,3570,1980,1920,1750,2640,3920,750,1390,8880,9040,17920,5550,3670,6560,2140,12110,-160,0.67578125
2022,hurlstone_park,Hurlstone Park Station,510,50,170,110,150,430,60,230,890,820,1710,560,280,580,290,1140,70,0.6666666666666666
2022,hurstville,Hurstville Station,5530,1760,3480,3120,3680,6550,1640,3140,14330,14570,28900,7290,6600,10230,4780,17520,-240,0.6062283737024221
2022,ingleburn,Ingleburn Station,1060,460,450,370,550,1090,300,470,2360,2390,4750,1520,820,1640,770,3160,-30,0.6652631578947369
2022,international,International Station,620,960,870,950,570,510,340,280,2400,2700,5100,1580,1820,1080,620,2660,-300,0.5215686274509804
2022,jannali,Jannali Station,1130,160,280,240,280,980,120,320,1810,1700,3510,1290,520,1260,440,2550,110,0.7264957264957265
2022,katoomba,Katoomba Station,150,100,220,270,210,140,60,80,640,590,1230,250,490,350,140,600,50,0.4878048780487805
2022,kellyville,Kellyville Station,1850,50,340,250,320,1660,170,660,2680,2620,5300,1900,590,1980,830,3880,60,0.7320754716981132
2022,kiama,Kiama Station,100,40,120,120,70,80,40,50,330,290,620,140,240,150,90,290,40,0.46774193548387094
2022,killara,Killara Station,740,130,300,210,270,640,70,310,1380,1290,2670,870,510,910,380,1780,90,0.6666666666666666
2022,kings_cross,Kings Cross Station,2850,3530,2280,2040,3910,3450,1530,1950,10570,10970,21540,6380,4320,7360,3480,13740,-400,0.637883008356546
2022,kingsgrove,Kingsgrove Station,680,220,270,200,350,620,130,320,1430,1360,2790,900,470,970,450,1870,70,0.6702508960573477
2022,kingswood,Kingswood Station,670,350,290,260,420,590,230,270,1610,1470,3080,1020,550,1010,500,2030,140,0.6590909090909091
2022,kirrawee,Kirrawee Station,670,220,290,220,280,610,110,220,1350,1270,2620,890,510,890,330,1780,80,0.6793893129770993
2022,kogarah,Kogarah Station,2640,1800,2050,1410,2350,2560,930,1800,7970,7570,15540,4440,3460,4910,2730,9350,400,0.6016731016731016
2022,koolewong,Koolewong Station,0,0,0,0,0,0,0,0,70,40,110,0,0,0,0,0,30,0.0
2022,lakemba,Lakemba Station,1060,230,700,520,530,1160,380,620,2670,2530,5200,1290,1220,1690,1000,2980,140,0.573076923076923
2022,lapstone,Lapstone Station,0,0,0,0,0,0,0,0,60,50,110,0,0,0,0,0,10,0.0
