station_flow_id,year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score,stop_lat,stop_lon,region,pressure_category
2023_corrimal,2023,corrimal,Corrimal Station,0,0,0,0,0,0,0,0,150,140,290,0,0,0,0,0,10,0.0,-34.3755701,150.90502206,Western Sydney,Low Peak Pressure
2023_cowan,2023,cowan,Cowan Station,0,0,0,0,0,0,0,0,50,40,90,0,0,0,0,0,10,0.0,-33.59356714,151.17177424,Southern Sydney,Low Peak Pressure
2023_cronulla,2023,cronulla,Cronulla Station,780,400,510,510,480,700,200,280,1970,1890,3860,1180,1020,1180,480,2360,80,0.6113989637305699,-34.05578475,151.15149843,Northern Sydney,Medium Peak Pressure
2023_croydon,2023,croydon,Croydon Station,1160,260,350,250,510,1010,150,430,2170,1950,4120,1420,600,1520,580,2940,220,0.7135922330097088,-33.88307479,151.11520613,Northern Sydney,High Peak Pressure
2023_dapto,2023,dapto,Dapto Station,0,0,0,0,0,0,0,0,410,380,790,0,0,0,0,0,30,0.0,-34.49301276,150.79168664,Western Sydney,Low Peak Pressure
2023_denistone,2023,denistone,Denistone Station,0,0,0,0,0,0,0,0,460,390,850,0,0,0,0,0,70,0.0,-33.79962625,151.08692825,Southern Sydney,Low Peak Pressure
2023_domestic,2023,domestic,Domestic Station,1940,1910,2640,1850,2070,2120,1610,760,8260,6640,14900,3850,4490,4190,2370,8040,1620,0.5395973154362416,,,Unmatched / Unknown,Medium Peak Pressure
2023_doonside,2023,doonside,Doonside Station,1350,150,430,340,340,1210,290,510,2410,2210,4620,1500,770,1550,800,3050,200,0.6601731601731602,-33.76389763,150.86869678,Western Sydney,Medium Peak Pressure
2023_dulwich_hill,2023,dulwich_hill,Dulwich Hill Station,1010,370,360,240,440,750,180,480,1990,1840,3830,1380,600,1190,660,2570,150,0.6710182767624021,-33.91094279,151.14072187,Northern Sydney,Medium Peak Pressure
2023_dundas,2023,dundas,Dundas Station,0,0,0,0,0,0,0,0,80,90,170,0,0,0,0,0,-10,0.0,,,Unmatched / Unknown,Low Peak Pressure
2023_east_hills,2023,east_hills,East Hills Station,390,60,120,80,110,360,70,160,690,660,1350,450,200,470,230,920,30,0.6814814814814815,-33.9618174,150.98472867,Western Sydney,Medium Peak Pressure
2023_east_richmond,2023,east_richmond,East Richmond Station,0,0,0,0,0,0,0,0,180,190,370,0,0,0,0,0,-10,0.0,-33.60172876,150.75891556,Western Sydney,Low Peak Pressure
2023_eastwood,2023,eastwood,Eastwood Station,2350,860,1620,1520,1540,2700,690,1200,6200,6280,12480,3210,3140,4240,1890,7450,-80,0.5969551282051282,-33.79030086,151.08229721,Southern Sydney,Medium Peak Pressure
